,Activated CD8 T cell,Central memory CD8 T cell,Effector memeory CD8 T cell,Activated CD4 T cell,Central memory CD4 T cell,Effector memeory CD4 T cell,T follicular helper cell,Gamma delta T cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell,Regulatory T cell,Activated B cell,Immature  B cell,Memory B cell,Natural killer cell,CD56bright natural killer cell,CD56dim natural killer cell,Myeloid derived suppressor cell,Natural killer T cell,Activated dendritic cell,Plasmacytoid dendritic cell,Immature dendritic cell,Macrophage,Eosinophil,Mast cell,Monocyte,Neutrophil
TCGA-05-4384-01,0.202808217,0.258427964,0.023410593,-0.045714922,0.458737954,-0.079080267,0.116530691,0.24192637,0.045643458,-0.111374204,0.053312431,0.076385539,-0.346378684,-0.253443284,-0.122927476,0.159584619,0.068170062,0.117920381,0.235459639,0.065151896,0.38978557,0.332752979,0.264314289,0.087034268,-0.298012674,0.103269124,0.393215229,-0.086885814
TCGA-05-4396-01,0.232945028,0.139042594,0.053962545,-0.010482147,0.401356761,-0.022997981,0.000623959,0.271082707,0.007581519,-0.090280095,0.004676973,-0.034803245,-0.37637725,-0.339682512,-0.131701064,0.107013588,0.064029557,0.177261608,0.176590264,0.009930173,0.400817262,0.319163728,0.196473931,0.059932698,-0.335722827,0.006457567,0.322279977,-0.098339642
TCGA-05-4405-01,0.223802482,0.268634671,0.136677413,-0.003463812,0.488032032,-0.044399747,0.108146604,0.317882168,0.065975381,-0.013072271,0.038232207,0.054476658,-0.300049994,-0.316059885,-0.101829022,0.20091539,0.097832032,0.064091458,0.284066936,0.078701453,0.453494244,0.365255295,0.30292993,0.116838476,-0.295165849,0.068651598,0.381365306,-0.081187554
TCGA-05-4417-01,0.268321863,0.226539725,0.168149102,0.082907018,0.452158783,-0.008262643,0.117467936,0.349301991,0.026349913,-0.105455415,0.045354963,0.043049574,-0.315520099,-0.355438013,-0.110369135,0.163453072,0.092596593,-0.010773289,0.375668349,0.076057854,0.393279966,0.34756299,0.299774757,0.071087834,-0.305132099,0.040136225,0.433061696,-0.096881436
TCGA-05-4427-01,0.247880868,0.234655266,0.053017812,0.038654071,0.458803993,-0.009397813,0.09925408,0.347954653,0.047224752,-0.036474473,0.036077513,0.084886306,-0.278849825,-0.366499266,0.026108932,0.17421784,0.107227419,0.080614124,0.386258559,0.023996058,0.406651156,0.297871644,0.33892596,0.014986277,-0.297207239,0.012540757,0.346500839,-0.044789154
TCGA-05-5420-01,0.268767574,0.215048457,0.130741631,0.183027679,0.390192329,-0.021335997,0.085958521,0.356499425,0.052718197,-0.02740027,0.040045443,0.00988412,-0.258043265,-0.382942299,-0.102379776,0.158086277,0.12163929,0.066712156,0.374308619,0.104876491,0.392218784,0.343830883,0.22154221,0.103490454,-0.367146686,0.007038748,0.429912511,-0.172095673
TCGA-05-5423-01,0.249119848,0.269453069,0.065878218,0.06237713,0.500937283,-0.058532846,0.099823983,0.259866561,0.050851436,0.084391134,-0.022225903,0.067728381,-0.299161417,-0.384439391,-0.129924067,0.164249806,0.109733305,0.027662259,0.333302814,0.088198054,0.41164183,0.319570229,0.340966964,0.115310964,-0.303325533,0.064702978,0.445784787,-0.091883448
TCGA-05-5425-01,0.288632928,0.248866538,0.103456327,0.042109164,0.480783489,-0.094153621,0.075865253,0.325656205,0.04787404,-0.036770511,0.020085388,0.030526916,-0.306542656,-0.378258851,-0.129641441,0.140877411,0.074853614,0.221931581,0.27382268,0.056577137,0.461493063,0.367845157,0.276624684,0.151091058,-0.320274493,0.01069685,0.415020896,-0.140878448
TCGA-05-5429-01,0.232839196,0.258746529,0.123850929,0.073697443,0.450977407,-0.09616689,0.052166602,0.295887517,0.06885466,0.028190762,0.069068898,0.02207232,-0.334448992,-0.408125856,-0.13510275,0.205368846,0.105142671,0.175249502,0.341066321,0.069155536,0.458730754,0.30217479,0.31074111,0.080727756,-0.305613811,-0.02836957,0.45817059,-0.112840908
TCGA-05-5715-01,0.2100235,0.180045003,0.132972741,0.044023536,0.470830201,-0.009712977,0.052193361,0.359274861,0.039258174,0.098129998,-0.036555207,0.039318427,-0.303575101,-0.441921861,-0.097689558,0.182036225,0.098785877,0.138923534,0.310346662,0.069273924,0.406596487,0.323036393,0.315024288,0.092882746,-0.310999174,-0.045323515,0.413263208,-0.074776684
TCGA-35-5375-01,0.324559226,0.190117489,0.002675831,0.156412852,0.45138992,-0.005062147,0.027749307,0.320276961,0.041958929,-0.025577434,-0.020876473,-0.007089365,-0.297173977,-0.425979051,-0.149892825,0.141071133,0.143199387,0.019319098,0.159176062,0.057284017,0.387912542,0.314342583,0.240258795,0.048390404,-0.317395095,-0.038146644,0.347043619,-0.084653461
TCGA-38-6178-01,0.2292837,0.276875898,0.167668488,0.062326066,0.502518059,-0.028441806,0.132818933,0.332747282,0.074058748,-0.03635718,0.043717738,0.098708667,-0.283810003,-0.364342269,-0.135551938,0.194294016,0.094305425,0.068084011,0.34744355,0.101137208,0.429300567,0.386979175,0.302913186,0.078227511,-0.298509057,0.036256974,0.41989157,-0.103221726
TCGA-38-A44F-01,0.28105851,0.240718948,0.160235217,0.027147703,0.461297433,-0.069011534,0.117361813,0.245257396,0.075659842,0.092881352,-0.007485181,0.133741482,-0.181311695,-0.216825122,-0.206565754,0.199841901,0.057915268,0.109938434,0.389636093,0.08894814,0.402875433,0.309029891,0.278867491,0.182441002,-0.272820244,0.036105825,0.404196992,-0.0721576
TCGA-44-2656-01,0.286811451,0.331360031,0.181030017,0.121545519,0.479008131,-0.014608693,0.13127877,0.299813131,0.086701556,-0.039505225,0.054074835,0.128290325,-0.26824973,-0.33500962,-0.127280262,0.151876695,0.080235394,0.023518559,0.370133924,0.127486957,0.377725486,0.401036666,0.261986044,0.083667647,-0.29368766,0.082936514,0.418840207,-0.133748916
TCGA-44-2665-01,0.270944755,0.276422201,0.281479644,0.074991622,0.534110155,-0.001188895,0.142667416,0.383423569,0.120286487,0.046734033,0.046252216,0.24181987,-0.194923345,-0.386659404,-0.146155271,0.231411554,0.116264137,0.038130599,0.484927549,0.168706689,0.413635863,0.401434895,0.319663111,0.120965453,-0.262202672,-0.03379875,0.445991745,-0.034705707
TCGA-44-2668-01,0.309052438,0.289251507,0.321068871,0.14707227,0.512114871,0.07234831,0.076370967,0.391760928,0.113688341,-0.035661306,0.104530394,0.197424076,-0.303683297,-0.386074837,-0.049974553,0.193841006,0.109575532,-0.031627015,0.377227077,0.144260983,0.469826816,0.334400115,0.271486778,0.115431653,-0.335893408,0.013243659,0.42354201,0.029240298
TCGA-44-3917-01,0.255269517,0.129361353,0.083246148,0.076251148,0.335036172,0.107246809,-0.002346314,0.289036878,0.015261362,-0.016931086,0.108805375,0.021633901,-0.214468182,-0.436694427,-0.067494093,0.143190704,0.111174686,-0.140685055,0.318179655,0.060948937,0.397028872,0.322577636,0.263289527,0.11744667,-0.302942315,0.008113973,0.248050088,-0.039639141
TCGA-44-3918-01,0.255788584,0.282099344,0.254760435,0.074997422,0.453958796,-0.022504883,0.146799832,0.343666614,0.119326629,0.018842372,0.046497949,0.146859196,-0.292355325,-0.355696949,-0.032085051,0.212292742,0.136869919,0.059016877,0.384758432,0.135506483,0.391000781,0.381319487,0.32514075,0.108108416,-0.297822303,0.058418776,0.387404667,-0.06138777
TCGA-44-4112-01,0.290326388,0.234939601,0.231850619,0.066825997,0.470795734,0.034245912,0.104071917,0.363765528,0.103495379,0.020507337,0.056909718,0.180482562,-0.343925501,-0.375148773,-0.070370633,0.217588447,0.119607488,-0.004817774,0.310253722,0.083576097,0.442970232,0.306377099,0.32176617,0.040177178,-0.266481614,0.055514676,0.407572412,-0.025968467
TCGA-44-5643-01,0.282046682,0.203091216,0.044665884,0.117098707,0.434598479,-0.021809545,0.01558699,0.290945694,0.039593879,-0.098651637,0.032465998,-0.043733056,-0.368415338,-0.424946953,-0.069078577,0.157466109,0.104089297,0.094269173,0.299184182,0.053821054,0.42711106,0.280774521,0.260888963,0.017952151,-0.328932094,-0.048205988,0.387708807,-0.130836842
TCGA-44-5644-01,0.25140336,0.109341529,0.017894859,0.04627881,0.401384519,-0.06455549,0.01116814,0.313660577,-0.015671541,-0.162512789,0.030679829,-0.108536579,-0.333358746,-0.44190749,0.000583689,0.127531901,0.087971838,0.223015598,0.24181454,0.028163218,0.351006966,0.347926009,0.222785796,-0.01838766,-0.330148878,-0.068215129,0.375064466,-0.233477667
TCGA-44-5645-01,0.237863835,0.194563647,0.124972853,0.008378425,0.46893117,0.001085906,0.157177814,0.266483983,0.10569658,0.073914715,0.05501844,0.185068554,-0.235860392,-0.28727381,-0.156318433,0.224575191,0.12153516,0.024253829,0.295100105,0.134520491,0.345315808,0.362817124,0.338733909,0.111384899,-0.326640465,0.085302868,0.352771024,-0.043986336
TCGA-44-6145-01,0.296875129,0.312851858,0.163526322,0.138722584,0.521680588,-0.014346957,0.081158085,0.320292083,0.093049957,-0.032102889,0.078333441,0.026513612,-0.244052813,-0.337118768,-0.048800639,0.120526717,0.075599354,0.116294203,0.417001585,0.11245328,0.434269175,0.311267339,0.254835488,0.100829696,-0.29476018,0.009727675,0.45697207,-0.029245688
TCGA-44-6146-01,0.270071992,0.205141847,0.063173849,-0.016688154,0.387146273,-0.072119058,0.049269524,0.295736562,0.034594853,-0.029296397,0.056562811,-0.036586505,-0.232139279,-0.39256286,-0.200776051,0.143065125,0.071514283,0.171322549,0.30459243,0.06594626,0.41612382,0.301668066,0.258778219,0.125671399,-0.319088715,0.04160127,0.43912964,-0.129913136
TCGA-44-6147-01,0.226013329,0.330042892,0.226851135,0.041096906,0.500485062,-0.078638933,0.117079434,0.27685084,0.059592116,0.066654058,0.017549441,0.113221012,-0.246652108,-0.33485425,-0.127451581,0.198675649,0.075512517,0.080991426,0.342215808,0.121488569,0.448400234,0.383405851,0.25996971,0.094511157,-0.339282345,0.027555683,0.411569427,-0.183908442
TCGA-44-6774-01,0.25201387,0.34275311,0.149748206,0.06210964,0.484643866,-0.045806626,0.122240324,0.296397063,0.083085109,-0.020059213,-0.021147311,0.096380938,-0.331013455,-0.369390251,-0.112342369,0.197559929,0.067419734,0.140383645,0.360621204,0.119759062,0.42858471,0.334021245,0.292246977,0.062014255,-0.356679132,0.084210581,0.390314941,-0.099747224
TCGA-44-6775-01,0.240397084,0.325701019,0.228816778,0.047279563,0.496390005,-0.069589906,0.122789102,0.29517851,0.059487593,0.057454396,0.022362192,0.122936516,-0.25176679,-0.341499909,-0.107691446,0.199986706,0.095128894,0.084484468,0.338312933,0.12634632,0.447269059,0.383139603,0.268130338,0.097526342,-0.331354456,0.024311741,0.419882287,-0.159755468
TCGA-44-6777-01,0.300187158,0.324751514,0.203137733,0.145841488,0.500834936,0.009583524,0.163438449,0.294848557,0.160044786,0.021422483,0.109683134,0.228781395,-0.19181586,-0.294382708,-0.069318675,0.217002202,0.109872782,-0.007759818,0.532195728,0.14108832,0.435178467,0.353782285,0.310310306,0.151738658,-0.251187683,0.12363225,0.43353109,0.05368608
TCGA-44-6778-01,0.238391467,0.17258877,0.17024575,0.147607824,0.443074914,-0.013047118,0.085437667,0.339006566,0.049634549,-0.096121308,0.022926812,0.049026306,-0.254047134,-0.3228201,-0.024208829,0.18275845,0.064260741,0.134705048,0.42372506,0.125599973,0.391895767,0.357193187,0.297180054,0.16635896,-0.366452085,0.039220821,0.373572284,-0.15380233
TCGA-44-6779-01,0.273556665,0.213007728,0.088370896,0.132851576,0.444503961,-0.030034202,0.065114385,0.332091262,0.079110951,-0.002478228,-0.021231774,-0.027571457,-0.323779335,-0.421856726,-0.150890072,0.185685469,0.128421909,0.074926144,0.186206141,0.055790395,0.448633298,0.346595977,0.258986264,0.03089688,-0.321053541,-0.011967415,0.374440977,-0.093137177
TCGA-44-7659-01,0.155952051,0.184072647,0.091354787,0.000476728,0.422286952,-0.127675583,0.067603016,0.254823788,0.034336689,0.107414164,0.02624669,-0.002102669,-0.270674334,-0.359361121,-0.012227149,0.186695915,0.130810883,0.208086637,0.237716008,0.049987587,0.443906713,0.280446184,0.277762768,0.123383048,-0.285043878,0.04392467,0.393710493,-0.160057262
TCGA-44-7660-01,0.219040791,0.175062964,0.082792668,0.156115189,0.429338632,0.001417038,0.057180241,0.349791823,0.043041567,-0.108687793,-0.014353903,-0.012731478,-0.295668011,-0.382757598,-0.082805986,0.163080038,0.075651242,0.003143972,0.341989065,0.063396463,0.354424137,0.299566522,0.293662594,0.070242259,-0.332250014,-0.018498817,0.3684459,-0.151450227
TCGA-44-7661-01,0.285360753,0.322937913,0.26741961,0.12035444,0.460983993,-0.02349713,0.139138179,0.339061292,0.14219639,-0.008660337,0.064470393,0.163564675,-0.273926243,-0.350556894,-0.050340098,0.199036592,0.118221154,0.025442681,0.443447218,0.160004537,0.438870644,0.384686521,0.276193768,0.100530273,-0.246553921,0.084343904,0.429506147,-0.031857387
TCGA-44-7662-01,0.237130203,0.235638215,0.152434092,0.076159057,0.505770476,-0.028863262,0.099204314,0.375243083,0.069794026,-0.017688124,0.016742836,0.078854073,-0.356503693,-0.387756831,-0.063632616,0.216148743,0.126406696,0.048356795,0.296351912,0.073324003,0.450232285,0.333125095,0.269074869,0.123201881,-0.333712746,0.041946236,0.393985588,-0.067729964
TCGA-44-7667-01,0.24351832,0.121733322,0.006521249,0.035545813,0.45785113,-0.004272336,-0.007610756,0.281213759,0.015444724,-0.1292803,-0.020481665,-0.018965717,-0.368003986,-0.422174645,0.028341992,0.169473467,0.092978844,0.002506414,0.212010957,0.031823628,0.432995035,0.331501942,0.271752278,0.001709556,-0.310718637,-0.041321928,0.325432995,-0.109798169
