	Activated CD8 T cell	Central memory CD8 T cell	Effector memeory CD8 T cell	Activated CD4 T cell	Central memory CD4 T cell	Effector memeory CD4 T cell	T follicular helper cell	Gamma delta T cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	Regulatory T cell	Activated B cell	Immature  B cell	Memory B cell	Natural killer cell	CD56bright natural killer cell	CD56dim natural killer cell	Myeloid derived suppressor cell	Natural killer T cell	Activated dendritic cell	Plasmacytoid dendritic cell	Immature dendritic cell	Macrophage	Eosinophil	Mast cell	Monocyte	Neutrophil
TCGA-05-4384-01	0.202808216843574	0.258427963739557	0.0234105934819392	-0.045714922200677	0.458737953842478	-0.0790802667245315	0.116530690896091	0.241926369835879	0.0456434579851682	-0.111374204476524	0.0533124308421901	0.0763855385785681	-0.346378684226876	-0.253443283997431	-0.12292747610511	0.159584619116829	0.0681700620381439	0.117920380928145	0.235459638592884	0.0651518959506357	0.389785570439758	0.332752978910817	0.264314288761767	0.0870342678526125	-0.298012673699133	0.103269123512739	0.393215229255315	-0.0868858140765207
TCGA-05-4396-01	0.232945027570772	0.139042593684456	0.0539625451189918	-0.0104821470883376	0.401356760857983	-0.0229979806840861	0.000623958576958079	0.271082706594089	0.00758151922369453	-0.0902800954506368	0.00467697292210642	-0.0348032452429844	-0.376377249837934	-0.339682512297686	-0.131701064378137	0.107013587547603	0.0640295567538427	0.177261608448542	0.176590264050177	0.00993017289918941	0.400817261831299	0.319163727856337	0.196473931048186	0.0599326983920137	-0.335722827218725	0.00645756680649855	0.322279977370338	-0.0983396422872676
TCGA-05-4405-01	0.223802482350313	0.268634670843284	0.13667741273088	-0.00346381216105599	0.488032031730393	-0.044399747077572	0.108146603578318	0.317882168412431	0.0659753814322531	-0.0130722711846885	0.0382322066458364	0.0544766581949408	-0.300049994293758	-0.316059884872668	-0.101829021634849	0.200915389850673	0.0978320315577005	0.0640914581965206	0.284066935876991	0.0787014530640159	0.453494243711446	0.365255294802658	0.302929929828246	0.116838476276728	-0.295165848979901	0.0686515983873288	0.381365306009101	-0.0811875537225149
TCGA-05-4417-01	0.268321863332055	0.226539725197557	0.168149101531589	0.0829070176459286	0.452158783292115	-0.00826264276714015	0.11746793578028	0.349301990733026	0.0263499134508935	-0.10545541482702	0.0453549633757204	0.0430495742800751	-0.315520099225564	-0.355438012552029	-0.110369134926682	0.163453072381438	0.0925965928497538	-0.010773288854478	0.375668349234756	0.0760578544881473	0.393279965606555	0.347562990381447	0.299774756722259	0.0710878343635021	-0.305132099146222	0.040136225298118	0.433061696478429	-0.0968814363554117
TCGA-05-4427-01	0.247880867752084	0.234655265867665	0.0530178123010738	0.0386540711889859	0.458803993156237	-0.00939781266413071	0.0992540798546653	0.347954653278384	0.0472247524724209	-0.0364744733646118	0.0360775130657917	0.0848863056326834	-0.278849825425452	-0.366499265507372	0.0261089322967508	0.174217839763126	0.107227419426564	0.080614124244106	0.386258558774967	0.0239960575299875	0.40665115640671	0.297871643586703	0.338925960134869	0.0149862766883914	-0.297207238834241	0.0125407565186023	0.346500838883535	-0.0447891537691057
TCGA-05-5420-01	0.26876757409257	0.215048456539983	0.130741631485419	0.183027679377229	0.390192328698031	-0.0213359974926487	0.0859585207399315	0.356499424574962	0.0527181966193834	-0.0274002702383438	0.0400454429751733	0.00988411957868343	-0.258043264681026	-0.382942298938318	-0.102379775850474	0.158086276737784	0.121639289842392	0.066712155857214	0.374308619145279	0.104876491395376	0.392218783880337	0.343830883057982	0.221542209722921	0.103490454120372	-0.367146685961208	0.00703874800763123	0.429912511040391	-0.172095673410932
TCGA-05-5423-01	0.249119847731674	0.26945306948751	0.0658782177976642	0.0623771302212519	0.500937283152772	-0.0585328459642759	0.0998239825052364	0.259866560847091	0.0508514360418531	0.0843911341235843	-0.022225903498016	0.0677283809237981	-0.299161417195597	-0.384439390708113	-0.129924066785215	0.164249806451597	0.109733305474981	0.0276622594086336	0.333302813734086	0.0881980544066062	0.41164182974248	0.319570228593332	0.340966964203608	0.115310963733685	-0.303325532652386	0.0647029776287319	0.445784787491658	-0.0918834479464529
TCGA-05-5425-01	0.288632927890344	0.248866537790291	0.103456326630928	0.0421091644273473	0.480783489408202	-0.0941536207419914	0.0758652531104402	0.325656204688368	0.0478740400494738	-0.0367705106097266	0.0200853880433494	0.0305269160380477	-0.306542655766229	-0.378258851329953	-0.129641440625211	0.1408774107688	0.0748536143668877	0.221931581368132	0.273822680457423	0.0565771373667675	0.46149306270479	0.367845157027602	0.276624684417348	0.151091058093799	-0.320274492632024	0.0106968503489099	0.415020896060903	-0.140878447850751
TCGA-05-5429-01	0.232839195613521	0.25874652938908	0.123850928637073	0.0736974431088308	0.450977406501849	-0.0961668900167912	0.052166601516657	0.295887516979536	0.0688546604603504	0.0281907620115611	0.0690688984900341	0.0220723200131813	-0.33444899155632	-0.40812585561569	-0.135102750436542	0.205368846018128	0.105142670975097	0.175249502031809	0.341066320738581	0.0691555357792394	0.458730754431734	0.30217478961191	0.31074110986276	0.0807277560648684	-0.305613810598252	-0.0283695696373579	0.458170589659411	-0.112840908376547
TCGA-05-5715-01	0.210023500470436	0.180045002647724	0.132972741154729	0.0440235361486934	0.470830200911846	-0.00971297701286665	0.0521933608623	0.359274860927821	0.0392581741424921	0.0981299977060118	-0.0365552070946331	0.0393184272711345	-0.303575100963295	-0.441921860734214	-0.097689557865392	0.182036224707483	0.0987858774428857	0.138923533939743	0.310346661607915	0.0692739242753987	0.406596486744785	0.323036393188401	0.315024287990378	0.0928827458425032	-0.310999174002352	-0.0453235151480992	0.413263208210547	-0.0747766836521888
