cytoband	9p21.3	9p23	4q34.3	9q21.11	15q15.1	22q13.32	13q12.11	1p12	19p13.3	21q11.2	1p13.3	11q25	13q34	16q24.1	1p36.11	18q23	18q21.1	2q22.1	8p23.2	10q26.3	5q11.2	6q26	16p13.3	3p12.3	16q23.1	5q35.3	13q14.2	15q11.2	14q32.13	17p13.3	5q31.1	11q12.1	11p15.5	8p21.3	10p15.3	13q31.1	9q34.3	3q11.2	19p12	4p16.3	6q14.3	12p13.2	19p13.2	22q11.21	2q37.2	20p12.1	3p11.1	12q12	11q23.2	11p15.4	17p11.2	9q22.31	
q value	6.1953e-61	1.0444e-10	5.3448e-09	9.442e-08	5.5303e-08	1.6822e-06	6.1576e-07	5.6575e-07	0.00032528	0.00047513	3.2198e-06	0.00030773	0.0007372	4.7305e-06	0.0028734	0.0047403	0.0052629	0.0064215	0.0075606	0.0079485	0.0081981	0.0092457	0.01283	0.009173	0.00047513	0.015975	0.0010891	0.00041388	0.025121	0.02673	0.042743	0.06261	0.0031878	0.070553	0.0704	0.037937	0.079382	0.052629	0.10128	0.10548	0.10799	0.11108	0.11082	0.12171	0.12821	0.12589	0.13382	0.15301	0.087013	0.02673	0.19065	0.073778	
residual q value	6.1953e-61	1.0444e-10	5.3448e-09	2.8371e-07	9.3603e-07	1.6822e-06	4.572e-06	6.9843e-05	0.00036162	0.00049399	0.00068256	0.00081038	0.0013335	0.0024046	0.0027999	0.004446	0.0050646	0.0064334	0.0071647	0.0076413	0.0083699	0.0091937	0.01276	0.016713	0.016713	0.02204	0.022599	0.022599	0.024596	0.02711	0.054686	0.061043	0.065758	0.071528	0.071528	0.071528	0.081228	0.095197	0.099851	0.10552	0.10552	0.10799	0.11508	0.12434	0.12589	0.12589	0.13314	0.1516	0.16179	0.17401	0.19368	0.22893	
wide peak boundaries	chr9:21865499-21997723	chr9:8310705-10619051	chr4:177361041-190214555	chr9:38619155-68537321	chr15:39918083-40036831	chr22:47175561-50818468	chr13:1-21493048	chr1:117933259-119371060	chr19:1-422237	chr21:1-14963667	chr1:93553299-117596883	chr11:127336933-135086622	chr13:113548278-114364328	chr16:85806372-86474676	chr1:6724533-32819994	chr18:70650749-80373285	chr18:42039853-55222735	chr2:140577169-142880269	chr8:2166023-8703697	chr10:127450379-133797422	chr5:44813553-102235985	chr6:139860285-170805979	chr16:5601841-7714195	chr3:77649872-84639096	chr16:78007373-79593873	chr5:162154318-181538259	chr13:48301193-48490671	chr15:1-82551369	chr14:79273050-107043718	chr17:1-1262191	chr5:64763969-164468637	chr11:28476963-65917140	chr11:1-65922183	chr8:18400807-46841457	chr10:1-5094722	chr13:51445064-96942767	chr9:127222830-138394717	chr3:89475944-96360328	chr19:22345250-22636040	chr4:1-14471009	chr6:27796269-154249413	chr12:2665503-20370816	chr19:10930031-11096864	chr22:1-21741481	chr2:181302076-242193529	chr20:13983383-31258477	chr3:1-198295559	chr12:26828596-39295175	chr11:89681630-135086622	chr11:1-57341436	chr17:16969650-27128158	chr9:21959053-135099631	
genes in wide peak	CDKN2A	PTPRD	AGA	PGM5	EIF2AK4	ACR	GJA3	TBX15	PLPP2	BAGE	ABCA4	APLP2	ATP4B	IRF8	ALPL	CYB5A	ATP5A1	MIR7157	ANGPT2	ADAM8	TRIM23	ACAT2	RBFOX1	GBE1	CLEC3A	BNIP1	RB1	ACTC1	hsa-mir-1185-2	ABR	hsa-mir-886	ACP2	ACP2	ADRA1A	ADARB2	ATP7B	ABCA2	PROS1	ZNF98	ADD1	hsa-mir-2113	hsa-mir-1244-3	SMARCA4	ARVCF	hsa-mir-1244-1	BFSP1	hsa-mir-720	BICD1	ACAT1	ACP2	ALDH3A1	ABCA1	
	CDKN2A-AS1	PTPRD-AS1	SLC25A4	ZNF658		ARSA	GJB2	WARS2	THEG	CBS	ADORA3	ETS1	GAS6	LOC146513	RERE	GALR1	DCC		DEFA1	BNIP3	ARSB	CCR6	MIR8065	ROBO1	WWOX	CANX	LPAR6	ADAM10	SERPINA3	DOC2B	hsa-mir-1244-2	APLNR	ADM	ADRB3	KLF6	KLF5	ABL1	NSUN3	LOC374890	ADRA2C	ABCF1	A2M		ATP6V1E1	hsa-mir-3130-3	ENTPD6	hsa-mir-1280	DDX11	ACRV1	ADM	ALDH3A2	ABL1	
		LOC105375972	CASP3	SPATA31A7		CHKB	TUBA3C	SPAG17	MIER2	CRYAA	AGL	FLI1	GRK1	LINC00917	ADGRB2	MBP	SMAD2		DEFA3	CYP2E1	BHMT	ESR1		LOC728290		CCNG1		ANXA2	AKT1	RPH3AL	ADRA1B	ARHGAP1	AP2A2	ANK1	AKR1C1	BTF3P11	ABO	ARL13B	GOLGA2P9	ATP5I	CRISP1	A2MP1		BID	hsa-mir-1245	CST1	AADAC	PKP2	BIRC2	AP2A2	DRG2	ABO	
			DCTD	CNTNAP3		CPT1B	ZMYM2	HAO2-IT1	OR4F17	PWP2	ALX3	KCNJ1	TFDP1	LINC01082	C1QA	NFATC1	SMAD4		DEFA4	ECHS1	BTF3	FUCA2		MIR3923		CLTB		APBA2	BDKRB1	TIMM22	ADRB2	ARL2	APLNR	ATP6V1B2	AKR1C2	CLN5	AK1	DHFR2	LINC01233	NKX3-2	AGER	APOBEC1		COMT	AAMP	CST2	ACAA1	PTHLH	BIRC3	APLNR	FOXO3B	ACO1	
			F11	ANKRD20A1		TYMP	IFT88	LOC101929147	C2CD4C	HSPA13	AMPD1	KCNJ5	CDC16	LINC01081	C1QB	ZNF236	SMAD7		DEFA5	INPP5A	CAST	GPR31		LOC101927374		NKX2-5		AQP9	BDKRB2	GEMIN4	ANXA6	BAD	AMPD3	BMP1	IDI1	DACH1	ASS1	LINC00879	LOC100996349	CRMP1	AIF1	ARHGDIB		CRKL	ACADL	CST3	ACPP	PPFIBP1	APLP2	AMPD3	FLII	AK1	
			ACSL1	FAM201A		MAPK11	ZMYM5	WARS2-IT1	WASH5P	TPTE	AMPD2	NFRKB	RASA3	MIR6774	C1QC	CTDP1	MBD1		DEFA6	MGMT	CCNB1	GRM1				DBN1		B2M	CALM1	GLOD4	APC	SERPING1	APBB1	POLR3D	PFKP	DCT	C8G	STX19	LOC101929124	CTBP1	AIM1	ART4		GGT3P	AGXT	CST4	ACTL6A	MED21	APOA1	APBB1	KCNJ12	ALAD	
			FAT1	CBWD5		MAPK12	SAP18	LOC105378933	LINC01002	U2AF1	AMY1A	OPCML	UPF3A		CA6	ZNF516	ME2		DEFB1	MKI67	CCNH	HIVEP2				DOCK2		BBS4	SERPINA6	MRM3	TRIM23	VPS51	RHOG	BNIP3L	PITRM1	EDNRB	CACNA1B	MTHFD2P1		DGKQ	AMD1	C1R		GP1BB	ALPI	CST5	ACVR2B	DNM1L	APOA4	RHOG	LLGL1	ALDH1A1	
